FileName SurveyVisibilities.dat
FileStartTime 2025/06/21-00:00:00.000
FileStopTime 2025/06/24-00:00:00.000
VisibList 7420
2025/06/22-23:16:26.001 2025/06/22-23:16:56.000 TFRM TFRM____ 65058A                     0.100000
2025/06/22-22:42:06.819 2025/06/22-22:42:19.542 TFRM TFRM____ 65020CV                    0.100000
2025/06/22-00:54:28.677 2025/06/22-00:54:41.471 TFRM TFRM____ 65089A                     0.100000
2025/06/22-00:47:28.854 2025/06/22-00:47:47.000 TFRM TFRM____ 66016A                     0.100000
2025/06/21-01:24:30.001 2025/06/21-01:25:00.000 TFRM TFRM____ 66053B                     0.100000
2025/06/21-21:52:17.001 2025/06/21-21:52:47.000 TFRM TFRM____ 66053B                     0.100000
2025/06/23-23:10:02.001 2025/06/23-23:10:32.000 TFRM TFRM____ 66053D                     0.100000
2025/06/23-23:11:32.001 2025/06/23-23:12:02.000 TFRM TFRM____ 66053D                     0.100000
2025/06/21-21:27:17.001 2025/06/21-21:27:47.000 TFRM TFRM____ 66053F                     0.100000
2025/06/21-21:27:47.000 2025/06/21-21:28:17.000 TFRM TFRM____ 66053F                     0.100000
2025/06/21-22:11:48.431 2025/06/21-22:12:17.000 TFRM TFRM____ 66053F                     0.100000
2025/06/22-01:15:17.001 2025/06/22-01:15:47.000 TFRM TFRM____ 66053F                     0.100000
2025/06/22-01:15:47.000 2025/06/22-01:16:17.000 TFRM TFRM____ 66053F                     0.100000
2025/06/22-22:07:26.001 2025/06/22-22:07:56.000 TFRM TFRM____ 66053F                     0.100000
2025/06/23-00:11:26.001 2025/06/23-00:11:56.000 TFRM TFRM____ 66053F                     0.100000
2025/06/23-00:15:56.001 2025/06/23-00:16:26.000 TFRM TFRM____ 66053F                     0.100000
2025/06/22-22:41:26.001 2025/06/22-22:41:56.000 TFRM TFRM____ 66053G                     0.100000
2025/06/22-22:41:56.000 2025/06/22-22:42:26.000 TFRM TFRM____ 66053G                     0.100000
2025/06/22-22:57:56.001 2025/06/22-22:58:26.000 TFRM TFRM____ 66053G                     0.100000
2025/06/22-22:58:26.000 2025/06/22-22:58:56.000 TFRM TFRM____ 66053G                     0.100000
2025/06/23-01:57:56.001 2025/06/23-01:58:26.000 TFRM TFRM____ 66053G                     0.100000
2025/06/23-01:58:56.001 2025/06/23-01:59:26.000 TFRM TFRM____ 66053G                     0.100000
2025/06/23-01:59:26.000 2025/06/23-01:59:56.000 TFRM TFRM____ 66053G                     0.100000
2025/06/23-01:59:56.000 2025/06/23-02:00:26.000 TFRM TFRM____ 66053G                     0.100000
2025/06/21-22:04:02.216 2025/06/21-22:04:17.000 TFRM TFRM____ 66053H                     0.100000
2025/06/21-22:12:17.001 2025/06/21-22:12:47.000 TFRM TFRM____ 66053H                     0.100000
2025/06/22-01:11:17.001 2025/06/22-01:11:47.000 TFRM TFRM____ 66053H                     0.100000
2025/06/22-23:56:26.001 2025/06/22-23:56:56.000 TFRM TFRM____ 66053H                     0.100000
2025/06/22-23:48:26.001 2025/06/22-23:48:56.000 TFRM TFRM____ 66077B                     0.100000
2025/06/22-23:48:56.000 2025/06/22-23:49:10.552 TFRM TFRM____ 66077B                     0.100000
2025/06/21-21:21:47.001 2025/06/21-21:22:17.000 TFRM TFRM____ 65034D                     0.100000
2025/06/21-21:22:17.000 2025/06/21-21:22:47.000 TFRM TFRM____ 65034D                     0.100000
