ScheduleName PlannedSchedule.dat
ScheduleStartTime 2025/06/21-00:00:00.000
ScheduleStopTime 2025/06/23-23:59:32.000
TaskList 1897
TFRM-000108                      follow-up       4 2025/06/21-00:53:30.000 2025/06/21-00:54:00.000 TFRM TFRM     I00017C    ALL          25   0.0        0.000000       15.563855
TFRM-000109                      follow-up       4 2025/06/21-00:54:00.000 2025/06/21-00:54:30.000 TFRM TFRM     I77021A    ALL          25   0.0        0.000000       16.915902
TFRM-000110                      follow-up       4 2025/06/21-00:54:30.000 2025/06/21-00:55:00.000 TFRM TFRM     I21087A    ALL          25   0.0        0.000000       17.070183
TFRM-000111                      follow-up       4 2025/06/21-00:55:00.000 2025/06/21-00:55:30.000 TFRM TFRM     I77021A    ALL          25   0.0        0.000000       16.892758
TFRM-000112                      follow-up       4 2025/06/21-00:55:30.000 2025/06/21-00:56:00.000 TFRM TFRM     I76073B    ALL          25   0.0        0.000000       17.160187
TFRM-000113                      follow-up       4 2025/06/21-00:56:00.000 2025/06/21-00:56:30.000 TFRM TFRM     I00017C    ALL          25   0.0        0.000000       15.814722
TFRM-000114                      follow-up       4 2025/06/21-00:56:30.000 2025/06/21-00:57:00.000 TFRM TFRM     I00017C    ALL          25   0.0        0.000000       15.864102
TFRM-000115                      follow-up       4 2025/06/21-00:57:00.000 2025/06/21-00:57:30.000 TFRM TFRM     I02035C    ALL          25   0.0        0.000000       16.698873
TFRM-000116                      follow-up       4 2025/06/21-00:57:30.000 2025/06/21-00:58:00.000 TFRM TFRM     I00017C    ALL          25   0.0        0.000000       15.961850
TFRM-000117                      follow-up       4 2025/06/21-00:58:00.000 2025/06/21-00:58:30.000 TFRM TFRM     I00017C    ALL          25   0.0        0.000000       16.010176
TFRM-000118                      follow-up       4 2025/06/21-00:58:30.000 2025/06/21-00:59:00.000 TFRM TFRM     I99005D    ALL          25   0.0        0.000000       17.433931
TFRM-000119                      follow-up       4 2025/06/21-00:59:00.000 2025/06/21-00:59:30.000 TFRM TFRM     I00017C    ALL          25   0.0        0.000000       16.105652
TFRM-000120                      follow-up       4 2025/06/21-00:59:30.000 2025/06/21-01:00:00.000 TFRM TFRM     I21087A    ALL          25   0.0        0.000000       17.197913
TFRM-000121                      follow-up       4 2025/06/21-01:00:00.000 2025/06/21-01:00:30.000 TFRM TFRM     I99005D    ALL          25   0.0        0.000000       17.426971
TFRM-000122                      follow-up       4 2025/06/21-01:00:30.000 2025/06/21-01:01:00.000 TFRM TFRM     I99005D    ALL          25   0.0        0.000000       17.424678
TFRM-000123                      follow-up       4 2025/06/21-01:01:00.000 2025/06/21-01:01:30.000 TFRM TFRM     I00017C    ALL          25   0.0        0.000000       16.291561
