FileName SurveyMidPoint.dat
FileStartTime 2025/06/21-00:00:00.000
FileStopTime 2025/06/24-00:00:00.000
MidPointEvents 7420
2025/06/22-01:39:02.000 TFRM          000002770     0.0179021211    1.9820978789  142.9927357335   53.5075159180  157.5379827718      15333.6894   12.6739212599   17.3260787401   37.0037862691
2025/06/22-01:42:32.000 TFRM          000002770     0.0168736275    1.9831263725  145.4691133452   56.0143584104  153.4493610086      15624.3457   12.6884166476   17.3115833524   34.5275492027
2025/06/22-01:43:02.000 TFRM          000002770     0.0167235608    1.9832764392  145.7873457132   56.3773117987  152.8742741616      15669.6739   12.6914576160   17.3085423840   34.2093342241
2025/06/22-01:45:02.000 TFRM          000002770     0.0161186599    1.9838813401  146.9690866876   57.8348267821  150.6028130450      15859.9515   12.7058534911   17.2941465089   33.0276555849
2025/06/22-01:45:32.000 TFRM          000002770     0.0159666536    1.9840333464  147.2415248560   58.1999139987  150.0427560756      15909.6918   12.7099861925   17.2900138075   32.7552311378
2025/06/22-01:46:02.000 TFRM          000002770     0.0158144754    1.9841855246  147.5047153138   58.5650260872  149.4860058097      15960.2735   12.7143228263   17.2856771737   32.4920536353
2025/06/22-01:48:02.000 TFRM          000002770     0.0152053820    1.9847946180  148.4648052989   60.0233154887  147.2935980796      16170.7370   12.7336133007   17.2663866993   31.5320076275
2025/06/22-01:49:02.000 TFRM          000002770     0.0149014789    1.9850985211  148.8893352069   60.7496386111  146.2189876696      16280.6603   12.7443592137   17.2556407863   31.1074948895
2025/06/22-01:50:32.000 TFRM          000002770     0.0144477105    1.9855522895  149.4573108255   61.8334171923  144.6350585518      16451.1093   12.7617506083   17.2382493917   30.5395388595
2025/06/22-01:51:02.000 TFRM          000002770     0.0142972198    1.9857027802  149.6284607808   62.1928077109  144.1146776590      16509.3562   12.7678690766   17.2321309234   30.3683937708
2025/06/22-01:54:32.000 TFRM          000002770     0.0132591145    1.9867408855  150.5791795749   64.6750052729  140.5801238480      16935.8129   12.8147556736   17.1852443264   29.4176855389
2025/06/22-01:55:02.000 TFRM          000002770     0.0131134812    1.9868865188  150.6807442630   65.0240660081  140.0907492425      16999.2603   12.8219834722   17.1780165278   29.3161190034
2025/06/22-01:56:32.000 TFRM          000002770     0.0126813221    1.9873186779  150.9364838346   66.0618232836  138.6459558758      17193.1287   12.8443746410   17.1556253590   29.0603689085
2025/06/22-01:57:32.000 TFRM          000002770     0.0123974555    1.9876025445  151.0674649750   66.7453748237  137.7021566979      17325.1945   12.8598540247   17.1401459753   28.9293766494
2025/06/22-02:01:32.000 TFRM          000002770     0.0112998616    1.9887001384  151.3002922639   69.4075983241  134.0799712653      17874.1015   12.9255756747   17.0744243253   28.6964732864
2025/06/22-02:03:32.000 TFRM          000002770     0.0107756803    1.9892243197  151.2596717868   70.6928865229  132.3586842844      18159.7705   12.9603551201   17.0396448799   28.7370378202
2025/06/22-02:04:32.000 TFRM          000002770     0.0105200764    1.9894799236  151.2046988328   71.3236299770  131.5198771422      18305.1335   12.9781409681   17.0218590319   28.7919786369
2025/06/22-02:06:32.000 TFRM          000002770     0.0100221318    1.9899778682  151.0320506801   72.5609476228  129.8849473365      18600.5463   13.0143966893   16.9856033107   28.9645546815
2025/06/22-02:15:32.000 TFRM          000002770     0.0080025869    1.9919974131  149.4652892994   77.7285853129  123.1878648286      19994.2864   13.1852252983   16.8147747017   30.5308828615
2025/06/22-02:16:32.000 TFRM          000002770     0.0078001555    1.9921998445  149.2334924333   78.2630303555  122.5057863243      20154.4787   13.2046736283   16.7953263717   30.7626226294
2025/06/22-02:22:02.000 TFRM          000002770     0.0067609144    1.9932390856  147.8344823391   81.0671875692  118.9546789246      21049.9902   13.3121961575   16.6878038425   32.1612949255
2025/06/21-21:24:02.000 TFRM          000002863     0.0004490310    1.9995509690  132.5863873653   44.6653224185  165.0768204745      35122.1633   14.0592211155   15.9407788845   47.4038687651
2025/06/21-22:18:02.000 TFRM          000002866     0.0004865831    1.9995134169  158.8128719713   71.1684372701  139.5128916436      35173.3908   13.2712056269   16.7287943731   21.1823382840
2025/06/21-22:21:32.000 TFRM          000002866     0.0004874686    1.9995125314  159.3465753898   72.0155350278  138.6587768498      35174.6649   13.2678875462   16.7321124538   20.6487500108
2025/06/21-22:24:32.000 TFRM          000002866     0.0004882127    1.9995117873  159.7808237990   72.7434504760  137.9252573998      35175.8191   13.2652555811   16.7347444189   20.2145955802
2025/06/21-22:29:32.000 TFRM          000002866     0.0004894218    1.9995105782  160.4528837760   73.9602276678  136.7000285823      35177.8701   13.2613058510   16.7386941490   19.5426815435
2025/06/21-22:31:02.000 TFRM          000002866     0.0004897767    1.9995102233  160.6410585621   74.3261025214  136.3318423779      35178.5165   13.2602277713   16.7397722287   19.3545477244
2025/06/22-22:10:41.000 TFRM          000002866     0.0004834989    1.9995165011  152.5773318072  103.0850287538  119.5229972887      36592.3891   13.4028218093   16.5971781907   27.4163187745
2025/06/22-23:03:41.000 TFRM          000002866     0.0004810351    1.9995189649  140.6767238492  116.4272039519  106.8219986599      36709.4029   13.5278709778   16.4721290222   39.3145115353
2025/06/22-01:34:02.000 TFRM          000002868     0.0004559686    1.9995440314  138.1677832245   49.3681415163  162.6589992513      37367.1854   13.7176353505   16.2823646495   41.8228263212
2025/06/22-01:34:32.000 TFRM          000002868     0.0004561175    1.9995438825  138.2886627764   49.4714430622  162.5826685850      37366.0355   13.7160759445   16.2839240555   41.7019692146
2025/06/22-01:35:02.000 TFRM          000002868     0.0004562659    1.9995437341  138.4094775763   49.5748988374  162.5057113876      37364.8877   13.7145217297   16.2854782703   41.5811768877
2025/06/22-22:08:41.000 TFRM          000002868     0.0004495162    1.9995504838  117.8031657293   36.0266082246  150.9477627508      35821.4038   13.9406310845   16.0593689155   62.1848949911
2025/06/22-22:09:11.000 TFRM          000002868     0.0004497104    1.9995502896  117.9297509389   36.0884251190  151.0476322144      35820.2714   13.9381995143   16.0618004857   62.0583241030
2025/06/22-22:12:41.000 TFRM          000002868     0.0004510665    1.9995489335  118.8156342763   36.5323256051  151.7408655116      35812.3953   13.9213353340   16.0786646660   61.1725425751
2025/06/22-22:14:11.000 TFRM          000002868     0.0004516456    1.9995483544  119.1951688349   36.7284444051  152.0346978013      35809.0476   13.9141917376   16.0858082624   60.7930524780
2025/06/22-22:14:41.000 TFRM          000002868     0.0004518384    1.9995481616  119.3216603736   36.7945851660  152.1321875379      35807.9355   13.9118217249   16.0881782751   60.6665758693
2025/06/22-22:17:41.000 TFRM          000002868     0.0004529919    1.9995470081  120.0804092853   37.1993621743  152.7121957543      35801.3019   13.8977184289   16.1022815711   59.9079176832
2025/06/23-02:09:11.000 TFRM          000002868     0.0005005580    1.9994994420  162.3974200674   87.6516605176  137.7293297537      35536.3017   13.3933556627   16.6066443373   17.5985310971
2025/06/23-02:09:41.000 TFRM          000002868     0.0005005312    1.9994994688  162.3633955740   87.7768198597  137.6140120663      35536.2909   13.3935390554   16.6064609446   17.6325480139
2025/06/23-02:10:11.000 TFRM          000002868     0.0005005038    1.9994994962  162.3284194645   87.9019989635  137.4986304416      35536.2824   13.3937280877   16.6062719123   17.6675163361
2025/06/23-02:10:41.000 TFRM          000002868     0.0005004757    1.9994995243  162.2924979222   88.0271958771  137.3831871102      35536.2761   13.3939227548   16.6060772452   17.7034298819
2025/06/23-23:15:17.000 TFRM          000002868     0.0005068997    1.9994931003  161.2102505663   77.0272019809  155.4923468296      35034.7304   13.3691095836   16.6308904164   18.7854981432
2025/06/23-23:18:47.000 TFRM          000002868     0.0005070883    1.9994929117  161.5893290718   77.8894029087  154.9915857766      35036.9214   13.3670867949   16.6329132051   18.4065021442
2025/06/23-23:25:47.000 TFRM          000002868     0.0005073729    1.9994926271  162.2219090596   79.6187295044  153.9293724551      35041.6727   13.3638720103   16.6361279897   17.7740601390
2025/06/23-23:27:17.000 TFRM          000002868     0.0005074177    1.9994925823  162.3343150213   79.9901070544  153.6919644054      35042.7546   13.3633276467   16.6366723533   17.6616787247
2025/06/23-23:44:47.000 TFRM          000002868     0.0005075144    1.9994924856  162.9818017384   84.3414440396  150.7043329681      35057.0175   13.3607610413   16.6392389587   17.0143328499
2025/06/23-23:46:17.000 TFRM          000002868     0.0005074859    1.9994925141  162.9778778385   84.7158538620  150.4318376493      35058.3791   13.3608659175   16.6391340825   17.0182557350
2025/06/23-00:46:41.000 TFRM          000002877     0.0506056577    1.9493943423  117.3214996194  141.8652861781   84.5601448261       6193.7648   10.7914351075   19.2085648925   62.6764267497
2025/06/21-22:43:34.195 TFRM          000002886     0.1076758676    1.8923241324  108.0375388263   35.4145004333  155.9845105817       2855.0262    8.6425053886   21.3574946114   71.9614381026
2025/06/21-22:43:54.866 TFRM          000002886     0.1124380538    1.8875619462  110.2092614881   35.6926623740  158.0288558538       2779.2891    8.5369178410   21.4630821590   69.7897555863
2025/06/21-01:43:16.772 TFRM          000003131     0.2279540671    1.7720459329  107.2974769570  132.0987447055   49.2578257726       1731.7528    8.1588966048   21.8411033952   72.7018998879
2025/06/23-22:13:47.000 TFRM          000003177     0.0270446206    1.9729553794  128.0413296785   58.1709486609  126.1792556515       8924.2057   10.8187505455   19.1812494545   51.9560219793
2025/06/23-22:14:17.000 TFRM          000003177     0.0272974947    1.9727025053  127.2600835070   57.7852548226  125.4643905464       8872.3568   10.8182279878   19.1817720122   52.7372556902
2025/06/21-00:03:15.000 TFRM          000003212     0.0218236238    1.9781763762  145.8501273487  116.5738181514   85.2635852193       9716.8952   11.1082001572   18.8917998428   34.1478169606
2025/06/21-00:03:45.000 TFRM          000003212     0.0221057869    1.9778942131  145.7598346619  116.2285440755   85.2209773113       9613.1552   11.0858100425   18.9141899575   34.2381268710
2025/06/21-00:14:15.000 TFRM          000003212     0.0318695258    1.9681304742  140.1179860202  107.1187084974   83.8825566606       7319.3052   10.5558142646   19.4441857354   39.8802452351
2025/06/22-02:16:07.822 TFRM          000003212     0.0205897096    1.9794102904  161.1110864949  108.8949015215  116.4486103474      10880.4268   11.2321898713   18.7678101287   18.8875861502
2025/06/22-02:17:02.000 TFRM          000003212     0.0209430011    1.9790569989  161.5577580542  108.2203605614  116.6289416639      10730.6527   11.1995383256   18.8004616744   18.4409627276
2025/06/21-22:04:02.000 TFRM          000003284     0.0006588058    1.9993411942  138.7837920163   50.1580559060  162.8778598419      35683.1796   14.8454442042   15.1545557958   41.2073487937
2025/06/21-22:04:32.000 TFRM          000003284     0.0006588011    1.9993411989  138.9098886307   50.2670724739  162.7967814876      35684.3956   14.8439839558   15.1560160442   41.0812741620
